"infID","infOrigin"
2,"region"
5,"region"
6,"region"
7,"region"
12,"region"
13,"region"
16,"region"
19,"region"
23,"region"
24,"region"
25,"region"
27,"region"
28,"region"
30,"region"
32,"region"
33,"region"
35,"region"
36,"region"
37,"region"
38,"region"
40,"region"
41,"region"
42,"region"
43,"region"
45,"region"
47,"region"
48,"region"
50,"region"
51,"region"
52,"region"
55,"region"
57,"region"
60,"region"
61,"region"
62,"region"
63,"region"
64,"region"
68,"region"
69,"region"
70,"region"
71,"region"
72,"region"
74,"region"
77,"region"
78,"region"
79,"region"
80,"region"
81,"region"
85,"region"
86,"region"
88,"region"
92,"region"
94,"region"
95,"region"
96,"region"
97,"region"
98,"region"
101,"region"
105,"region"
106,"region"
107,"region"
109,"region"
111,"region"
113,"region"
118,"region"
121,"region"
124,"region"
125,"region"
127,"region"
128,"region"
131,"region"
133,"region"
138,"region"
140,"region"
141,"region"
142,"region"
143,"region"
144,"region"
146,"region"
149,"region"
151,"region"
153,"region"
154,"region"
157,"region"
159,"region"
162,"region"
163,"region"
168,"region"
169,"region"
170,"region"
171,"region"
172,"region"
175,"region"
177,"region"
178,"region"
179,"region"
180,"region"
181,"region"
182,"region"
183,"region"
185,"region"
187,"region"
189,"region"
190,"region"
191,"region"
197,"region"
198,"region"
199,"region"
202,"region"
203,"region"
205,"region"
206,"region"
207,"region"
211,"region"
212,"region"
214,"region"
216,"region"
219,"region"
220,"region"
221,"region"
222,"region"
223,"region"
226,"region"
229,"region"
232,"region"
235,"region"
238,"region"
239,"region"
240,"region"
241,"region"
242,"region"
244,"region"
245,"region"
247,"region"
251,"region"
254,"region"
257,"region"
258,"region"
259,"region"
264,"region"
265,"region"
269,"region"
270,"region"
271,"region"
276,"region"
277,"region"
279,"region"
280,"region"
282,"region"
283,"region"
284,"region"
285,"region"
289,"region"
290,"region"
291,"region"
292,"region"
295,"region"
299,"region"
301,"region"
303,"region"
304,"region"
305,"region"
306,"region"
308,"region"
313,"region"
314,"region"
315,"region"
316,"region"
317,"region"
318,"region"
320,"region"
321,"region"
323,"region"
325,"region"
327,"region"
329,"region"
330,"region"
333,"region"
334,"region"
335,"region"
337,"region"
339,"region"
340,"region"
341,"region"
342,"region"
343,"region"
347,"region"
350,"region"
351,"region"
353,"region"
357,"region"
358,"region"
359,"region"
360,"region"
361,"region"
362,"region"
363,"region"
366,"region"
371,"region"
374,"region"
375,"region"
376,"region"
377,"region"
378,"region"
379,"region"
380,"region"
381,"region"
382,"region"
383,"region"
384,"region"
385,"region"
389,"region"
390,"region"
391,"region"
392,"region"
398,"region"
400,"region"
401,"region"
402,"region"
403,"region"
404,"region"
406,"region"
407,"region"
408,"region"
412,"region"
414,"region"
415,"region"
418,"region"
419,"region"
421,"region"
426,"region"
428,"region"
429,"region"
430,"region"
432,"region"
434,"region"
435,"region"
438,"region"
439,"region"
441,"region"
444,"region"
447,"region"
449,"region"
450,"region"
455,"region"
456,"region"
457,"region"
461,"region"
463,"region"
464,"region"
465,"region"
466,"region"
467,"region"
471,"region"
472,"region"
474,"region"
475,"region"
477,"region"
480,"region"
481,"region"
483,"region"
484,"region"
487,"region"
488,"region"
492,"region"
494,"region"
495,"region"
496,"region"
502,"global"
505,"global"
507,"global"
510,"global"
511,"global"
512,"global"
514,"global"
515,"global"
516,"global"
517,"global"
520,"global"
521,"global"
522,"global"
523,"global"
524,"global"
525,"global"
529,"global"
533,"global"
535,"global"
539,"global"
540,"global"
542,"global"
545,"global"
546,"global"
548,"global"
549,"global"
551,"global"
554,"global"
555,"global"
557,"global"
