"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"	"15-19 years"	"15-19"	109	99098	110.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"	"20-24 years"	"20-24"	217	132711	163.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"	"25-34 years"	"25-34"	314	177844	176.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"	"35-44 years"	"35-44"	257	102256	251.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"	"45-54 years"	"45-54"	521	82627	630.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"	"55-64 years"	"55-64"	1140	77540	1470.2
	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"	"65-74 years"	"65-74"	1778	52111	3411.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"	"75-84 years"	"75-84"	1679	21972	7641.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"	"85+ years"	"85+"	879	4959	17725.3
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1980"	"1980"			6894	751118	917.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"	"15-19 years"	"15-19"	93	96348	96.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"	"20-24 years"	"20-24"	165	135806	121.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"	"25-34 years"	"25-34"	276	193334	142.8
	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"	"35-44 years"	"35-44"	246	109381	224.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"	"45-54 years"	"45-54"	533	82879	643.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"	"55-64 years"	"55-64"	1207	79029	1527.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"	"65-74 years"	"65-74"	1844	54436	3387.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"	"75-84 years"	"75-84"	1768	23146	7638.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"	"85+ years"	"85+"	850	5186	16390.3
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1981"	"1981"			6982	779545	895.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"	"15-19 years"	"15-19"	91	93680	97.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"	"20-24 years"	"20-24"	174	136626	127.4
	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"	"25-34 years"	"25-34"	254	201184	126.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"	"35-44 years"	"35-44"	255	118822	214.6
	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"	"45-54 years"	"45-54"	537	82928	647.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"	"55-64 years"	"55-64"	1207	79406	1520.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"	"65-74 years"	"65-74"	1866	56017	3331.1
	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"	"75-84 years"	"75-84"	1804	24075	7493.3
	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"	"85+ years"	"85+"	907	5342	16978.7
"Total"	"San Diego County, CA"	"06073"	"Male"	"M"	"1982"	"1982"			7095	798080	889.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1983"	"1983"	"15-19 years"	"15-19"	74	91391	81.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1983"	"1983"	"20-24 years"	"20-24"	170	137133	124.0
	"San Diego County, CA"	"06073"	"Male"	"M"	"1983"	"1983"	"25-34 years"	"25-34"	274	209676	130.7
	"San Diego County, CA"	"06073"	"Male"	"M"	"1983"	"1983"	"35-44 years"	"35-44"	242	126343	191.5
	"San Diego County, CA"	"06073"	"Male"	"M"	"1983"	"1983"	"45-54 years"	"45-54"	494	83458	591.9
	"San Diego County, CA"	"06073"	"Male"	"M"	"1983"	"1983"	"55-64 years"	"55-64"	1160	79663	1456.1
