IDPOP,TIME_SEQ,SEQ_COUNT
974,100,1
379,100,1
290,100,1
404,100,1
844,100,1
921,100,1
480,100,1
811,100,1
853,100,1
884,100,1
947,100,1
955,100,1
289,100,1
832,100,1
791,100,1
221,100,1
937,100,1
366,100,1
691,100,1
823,100,1
939,100,1
842,100,1
693,100,1
818,100,1
950,100,1
763,100,1
870,100,1
759,100,1
483,100,1
836,100,1
562,100,1
418,100,1
694,100,1
968,100,1
269,100,1
891,100,1
988,100,1
969,100,1
455,100,1
905,100,1
863,100,1
265,100,1
750,100,1
199,100,1
764,100,1
363,100,1
282,100,1
305,100,1
768,100,1
577,100,1
807,100,1
798,100,1
784,100,1
330,100,1
828,100,1
283,100,1
945,100,1
887,100,1
63,100,1
770,100,1
101,100,1
856,100,1
392,100,1
467,100,1
704,100,1
401,100,1
617,100,1
304,100,1
516,100,1
695,100,1
641,100,1
634,100,1
833,100,1
507,100,1
594,100,1
977,100,1
774,100,1
861,100,1
972,100,1
855,100,1
564,100,1
143,100,1
929,100,1
815,100,1
845,100,1
581,100,1
826,100,1
816,100,1
834,100,1
271,100,1
728,100,1
897,100,1
71,100,1
461,100,1
903,100,1
72,100,1
264,100,1
481,100,1
456,100,1
284,100,1
471,100,1
7,100,1
520,100,1
930,100,1
19,100,1
197,100,1
32,100,1
615,100,1
852,100,1
107,100,1
944,100,1
940,100,1
68,100,1
866,100,1
902,100,1
421,100,1
488,100,1
378,100,1
361,100,1
25,100,1
390,100,1
560,100,1
180,100,1
917,100,1
251,100,1
226,100,1
60,100,1
708,100,1
565,100,1
554,100,1
1031,100,1
618,100,1
794,100,1
78,100,1
566,100,1
240,100,1
786,100,1
654,100,1
238,100,1
2,100,1
772,100,1
235,100,1
398,100,1
333,100,1
216,100,1
308,100,1
178,100,1
43,100,1
295,100,1
163,100,1
976,100,1
435,100,1
55,100,1
61,100,1
426,100,1
753,100,1
918,100,1
457,100,1
661,100,1
257,100,1
144,100,1
321,100,1
496,100,1
303,100,1
13,100,1
429,100,1
380,100,1
384,100,1
57,100,1
908,100,1
987,100,1
984,100,1
666,100,1
736,100,1
854,100,1
247,100,1
169,100,1
313,100,1
447,100,1
609,100,1
70,100,1
484,100,1
414,100,1
847,100,1
5,100,1
276,100,1
474,100,1
613,100,1
45,100,1
777,100,1
979,100,1
125,100,1
896,100,1
804,100,1
74,100,1
678,100,1
12,100,1
190,100,1
450,100,1
340,100,1
270,100,1
837,100,1
337,100,1
383,100,1
374,100,1
242,100,1
748,100,1
175,100,1
419,100,1
878,100,1
376,100,1
334,100,1
583,100,1
649,100,1
922,100,1
259,100,1
449,100,1
841,100,1
285,100,1
441,100,1
189,100,1
1000,100,1
205,100,1
729,100,1
881,100,1
495,100,1
850,100,1
86,100,1
787,100,1
655,100,1
28,100,1
1033,100,1
362,100,1
16,100,1
42,100,1
79,100,1
214,100,1
23,100,1
858,100,1
339,100,1
624,100,1
629,100,1
168,100,1
406,100,1
756,100,1
672,100,1
874,100,1
549,100,1
185,100,1
920,100,1
157,100,1
382,100,1
463,100,1
936,100,1
359,100,1
37,100,1
702,100,1
179,100,1
919,100,1
109,100,1
996,100,1
351,100,1
1020,100,1
1024,100,1
611,100,1
737,100,1
77,100,1
430,100,1
35,100,1
525,100,1
932,100,1
182,100,1
377,100,1
412,100,1
141,100,1
895,100,1
780,100,1
771,100,1
778,100,1
207,100,1
171,100,1
280,100,1
140,100,1
314,100,1
279,100,1
551,100,1
669,100,1
754,100,1
475,100,1
347,100,1
636,100,1
277,100,1
212,100,1
258,100,1
439,100,1
385,100,1
766,100,1
472,100,1
327,100,1
975,100,1
901,100,1
1095,100,1
316,100,1
1030,100,1
846,100,1
142,100,1
622,100,1
665,100,1
781,100,1
679,100,1
961,100,1
47,100,1
757,100,1
111,100,1
95,100,1
885,100,1
98,100,1
934,100,1
371,100,1
711,100,1
840,100,1
656,100,1
202,100,1
998,100,1
810,100,1
